KR1728LI, Full Time Employee, 1963-07-05, 59, 1987-12-03, 1999-09-18, Performance, Female, Single, M1, JML, 35449.62, Germany, EUR, Berlin, Production, GER1, Christianity
ILTUY64B, Full Time Employee, 1989-08-18, 33, 2019-01-17, 2022-03-13, AWOL, Female, Widowed, M3, MML, 53053.51, India, INR, Bangalore, Production, IN2, Hinduism
1FOHEYWW, Full Time Employee, 1970-05-09, 52, 2021-03-28, 2022-11-02, AWOL, Male, Separated, M2, JML, 43196.99, India, INR, Chennai, Production, IN2, Buddhism
IPB6EACJ, Full Time Employee, 2002-04-18, 20, 2021-08-30, , , Male, Single, M5, SML, 76551.62, India, INR, Hyderabad, Production, IN1, Buddhism
A29SOYMM, Full Time Employee, 1990-01-31, 33, 2010-02-13, 2014-06-26, Medical issues, Third gender, Married, N2, NML, 32749.90, India, INR, Bangalore, Production, IN2, Sikhism
N950YP6H, Full Time Employee, 1996-03-20, 26, 2020-01-28, 2023-01-09, AWOL, Female, Married, M7, TML, 106448.94, India, INR, Delhi, Packing, IN2, Jainism
FT78S05H, Full Time Employee, 1961-12-21, 61, 2015-11-02, 2020-09-11, Performance, Male, Separated, M5, SML, 76546.12, India, INR, Hyderabad, Production, IN2, Hinduism
OKLMAYP6, Full Time Employee, 1989-08-15, 33, 2013-02-08, 2015-06-09, Performance, Female, Single, M1, JML, 35449.88, India, INR, Hyderabad, Engineering, IN4, Christianity
529EY13C, Full Time Employee, 1968-11-11, 54, 2015-08-25, , , Male, Single, M2, JML, 43199.90, India, INR, Hyderabad, Production, IN2, Sikhism
BDF0CUSF, Full Time Employee, 1967-02-04, 56, 2017-11-15, 2020-10-30, Career change, Female, Widowed, M5, SML, 76547.31, India, INR, Chennai, Production, IN2, Islam
BGZE991P, Full Time Employee, 1964-02-20, 59, 1986-04-29, 2012-11-06, Relocation, Male, Widowed, M5, SML, 76552.71, India, INR, Hyderabad, Production, IN4, Christianity
HHAYTZUD, Temporary Employee, 1977-11-04, 45, 2022-05-20, 2022-08-07, Medical issues, Male, Widowed, M4, MML, 61550.48, Germany, EUR, Frankfurt, Sales & Marketing, GER1, Islam
I5LHGBHI, Full Time Employee, 1998-08-05, 24, 2021-04-23, 2021-07-26, Relocation, Female, Single, M1, JML, 35451.87, US, USD, New York, Sales & Marketing, US3, Christianity
4ADUKQIN, Full Time Employee, 1986-07-22, 36, 2021-07-02, , , Male, Widowed, M6, SML, 95346.61, Germany, EUR, Frankfurt, Engineering, GER1, Christianity
EUY0P0I0, Casual Employee, 1983-08-17, 39, 2013-03-07, , , Female, Divorced, M2, JML, 43199.22, India, INR, Delhi, Sales & Marketing, IN3, Christianity
GYLNVU0Y, Full Time Employee, 2003-08-10, 19, 2021-11-23, 2022-04-22, Gross misconduct, Female, Separated, N1, NML, 30651.59, Germany, EUR, Frankfurt, Production, GER2, Islam
48L9MC3P, Full Time Employee, 1977-01-07, 46, 2008-07-06, , , Male, Separated, M5, SML, 76548.32, Germany, EUR, Frankfurt, Production, GER1, Christianity
IO03LZ83, Full Time Employee, 1995-07-22, 27, 2018-11-17, 2019-06-20, AWOL, Male, Single, M2, JML, 43196.23, India, INR, Bangalore, Packing, IN3, Buddhism
B3K58DWY, Full Time Employee, 1985-01-25, 38, 2005-05-07, , , Male, Widowed, M5, SML, 76551.57, Germany, EUR, Frankfurt, Logistics, GER2, Islam
K1N6S3X1, Full Time Employee, 1985-05-14, 37, 2006-12-12, , , Male, Single, M5, SML, 76547.71, India, INR, Hyderabad, Production, IN4, Hinduism
RONUBKKG, Full Time Employee, 1966-08-05, 56, 2022-01-29, 2023-01-30, Medical issues, Male, Separated, M5, SML, 76548.34, India, INR, Hyderabad, Engineering, IN4, Sikhism
37SOCDI5, Full Time Employee, 1984-10-09, 38, 2013-10-10, 2019-09-14, AWOL, Female, Widowed, M3, MML, 53047.91, India, INR, Bangalore, Sales & Marketing, IN1, Sikhism
DSGM8APY, Full Time Employee, 1996-06-24, 26, 2016-11-30, , , Female, Widowed, M4, MML, 61548.89, Germany, EUR, Frankfurt, Production, GER2, Christianity
WNZ7FNX0, Full Time Employee, 1982-03-08, 40, 2013-08-24, , , Female, Divorced, N2, NML, 32750.12, India, INR, Delhi, Engineering, IN3, Hinduism
4NX6PAX4, Casual Employee, 1997-12-05, 25, 2018-09-06, 2020-02-09, Gross misconduct, Female, Married, M1, JML, 35449.85, US, USD, Boise, HR, US6, Christianity
OARD44QP, Full Time Employee, 1995-04-17, 27, 2017-02-03, , , Female, Married, M5, SML, 76551.43, Germany, EUR, Bonn, Engineering, GER2, Christianity
KYWEJ02T, Full Time Employee, 1973-04-27, 49, 2013-07-24, , , Female, Married, M4, MML, 61551.92, US, USD, Boston, Engineering, US4, Jewish
3KDJEH0T, Full Time Employee, 1983-12-31, 39, 2010-02-26, 2019-04-08, AWOL, Female, Married, N2, NML, 32748.66, Germany, EUR, Frankfurt, Engineering, GER2, Christianity
F6YK73PM, Full Time Employee, 1983-04-22, 39, 2007-10-10, 2010-09-15, Career change, Female, Divorced, M1, JML, 35449.69, India, INR, Hyderabad, Packing, IN1, Islam
TVM6VZFY, Full Time Employee, 1977-05-06, 45, 2004-01-14, , , Female, Married, M1, JML, 35450.82, Germany, EUR, Bonn, Customer Service, GER2, Islam
4ZF6KI65, Fixed Term Contractual Employee, 1970-12-14, 52, 2016-04-20, , , Male, Separated, M2, JML, 43200.87, India, INR, Hyderabad, Engineering, IN4, Sikhism
H2H3O9YN, Full Time Employee, 2002-05-11, 20, 2022-01-08, , , Male, Single, M1, JML, 35448.11, India, INR, Bangalore, Engineering, IN1, Islam
I37ZN0QK, Full Time Employee, 1961-08-05, 61, 1987-03-16, 2009-06-17, Performance, Female, Married, M6, SML, 95348.67, Germany, EUR, Frankfurt, Engineering, GER1, Islam
SONR92S6, Full Time Employee, 1962-02-10, 61, 2005-01-03, , , Male, Divorced, M4, MML, 61547.35, US, USD, New York, Production, US6, Christianity
2EYB24JZ, Full Time Employee, 1964-04-04, 58, 1999-08-16, 2019-11-27, AWOL, Male, Married, M2, JML, 43198.52, India, INR, Bangalore, Engineering, IN4, Hinduism
HJYX9DY4, Full Time Employee, 1966-08-05, 56, 1998-08-26, 2020-07-06, Performance, Male, Divorced, M6, SML, 95350.14, India, INR, Chennai, Production, IN3, Buddhism
WOSDS8LK, Full Time Employee, 1985-04-27, 37, 2014-01-16, 2018-11-22, Relocation, Female, Separated, M3, MML, 53049.61, Germany, EUR, Frankfurt, Logistics, GER1, Christianity
LMIEQ3VB, Full Time Employee, 1989-05-02, 33, 2016-06-15, , , Male, Married, M4, MML, 61545.30, Germany, EUR, Bonn, Sales & Marketing, GER1, Islam
ZD9I954K, Full Time Employee, 1966-03-04, 56, 1988-05-02, , , Male, Separated, M2, JML, 43198.37, US, USD, Boston, Production, US4, Athiest
4RTO5BQG, Full Time Employee, 1987-03-04, 35, 2013-01-20, 2022-02-28, Relocation, Male, Widowed, M5, SML, 76548.76, India, INR, Chennai, Logistics, IN4, Jainism
PR8GS56E, Full Time Employee, 1998-08-07, 24, 2021-12-14, , , Male, Widowed, M3, MML, 53049.92, Germany, EUR, Berlin, Production, GER1, Christianity
UWLT7194, Full Time Employee, 1969-11-02, 53, 2007-07-04, 2015-03-11, Performance, Male, Divorced, M3, MML, 53047.80, India, INR, Bangalore, Production, IN2, Christianity
SMBO1945, Full Time Employee, 1974-12-09, 48, 2008-09-20, 2011-07-19, Career change, Female, Separated, M4, MML, 61550.00, India, INR, Chennai, Engineering, IN3, Jainism
TAOJJ4KU, Full Time Employee, 1997-05-03, 25, 2017-12-07, 2022-12-30, Medical issues, Female, Divorced, M1, JML, 35447.37, India, INR, Chennai, Engineering, IN2, Buddhism
NQKUAN2Q, Full Time Employee, 1986-11-19, 36, 2012-06-17, 2021-12-07, Career change, Female, Divorced, M1, JML, 35449.18, India, INR, Hyderabad, Customer Service, IN4, Christianity
JIWILNUV, Full Time Employee, 1988-11-06, 34, 2013-05-06, , , Male, Single, N2, NML, 32749.99, India, INR, Delhi, Customer Service, IN3, Christianity
N6332WYG, Full Time Employee, 1967-06-19, 55, 2012-03-22, 2016-07-05, Return to school, Male, Single, M4, MML, 61552.24, US, USD, Boston, Production, US4, Athiest
0JOY07C8, Full Time Employee, 1990-08-05, 32, 2021-01-23, 2021-11-13, Return to school, Female, Divorced, M1, JML, 35451.01, US, USD, Boise, Engineering, US3, Christianity
UNOGX7MA, Full Time Employee, 1975-01-27, 48, 2019-05-20, 2020-05-24, Relocation, Female, Married, M2, JML, 43200.32, India, INR, Chennai, Procurement, IN2, Islam
0KYLA88F, Full Time Employee, 1981-01-16, 42, 2006-07-22, , , Male, Married, M2, JML, 43201.60, India, INR, Bangalore, Engineering, IN3, Jainism
CQVZJGL0, Full Time Employee, 1975-11-02, 47, 2021-04-09, , , Female, Divorced, M2, JML, 43200.90, US, USD, New York, Production, US3, Jewish
XJ0C0EUE, Full Time Employee, 1992-03-31, 30, 2017-11-09, 2018-08-28, Gross misconduct, Male, Single, M1, JML, 35450.51, US, USD, Boston, Packing, US4, Islam
7UC9289C, Full Time Employee, 1997-11-20, 25, 2020-09-09, 2022-11-15, Relocation, Female, Widowed, N2, NML, 32751.34, US, USD, Boise, HR, US4, Jewish
AN9014UR, Full Time Employee, 1989-04-28, 33, 2017-05-23, 2021-12-12, Performance, Male, Married, N1, NML, 30653.12, Germany, EUR, Berlin, Production, GER1, Islam
D2IT84NO, Full Time Employee, 1963-01-10, 60, 1987-04-25, 1997-10-23, Gross misconduct, Male, Divorced, M3, MML, 53052.83, Germany, EUR, Frankfurt, Customer Service, GER2, Islam
PQADOBE0, Full Time Employee, 1968-06-13, 54, 2022-11-19, 2022-12-11, Performance, Female, Widowed, M1, JML, 35449.99, India, INR, Chennai, Engineering, IN3, Buddhism
8RPIUJ0V, Temporary Employee, 1965-04-28, 57, 1995-10-22, 2001-10-04, Medical issues, Male, Widowed, M2, JML, 43201.58, Germany, EUR, Berlin, Production, GER1, Islam
OBOSM0PO, Full Time Employee, 1965-05-24, 57, 2022-09-11, 2023-01-29, Relocation, Female, Single, M2, JML, 43202.24, India, INR, Bangalore, Engineering, IN4, Islam
3G3W102Y, Full Time Employee, 1968-11-15, 54, 2021-08-10, 2022-11-11, Career change, Male, Separated, M3, MML, 53052.90, Germany, EUR, Frankfurt, Customer Service, GER2, Christianity
BN13YHHG, Full Time Employee, 1993-06-11, 29, 2022-12-17, , , Male, Married, N1, NML, 30649.59, India, INR, Bangalore, Production, IN3, Buddhism
LOGZ6XW5, Full Time Employee, 1981-11-06, 41, 2001-10-25, , , Male, Divorced, N2, NML, 32749.53, US, USD, Phoenix, Packing, US5, Jewish
AKW2OTV6, Temporary Employee, 1965-02-20, 58, 2003-04-02, 2022-05-19, Return to school, Female, Divorced, M2, JML, 43199.39, US, USD, Boise, HR, US6, Christianity
C64EU9KP, Full Time Employee, 1999-07-11, 23, 2018-05-26, 2018-10-24, Performance, Female, Separated, M1, JML, 35451.30, Germany, EUR, Berlin, Production, GER2, Christianity
PBQAMOJ4, Full Time Employee, 1995-07-16, 27, 2015-11-02, 2022-06-20, Return to school, Male, Divorced, M4, MML, 61551.30, US, USD, Boston, Production, US1, Christianity
502Y1K9V, Full Time Employee, 2004-08-08, 18, 2022-10-26, 2023-02-15, Gross misconduct, Male, Separated, M1, JML, 35449.60, India, INR, Vizag, Engineering, IN1, Hinduism
I7IBCVRX, Full Time Employee, 1985-12-17, 37, 2016-12-22, 2019-09-10, Career change, Female, Divorced, M2, JML, 43199.41, India, INR, Hyderabad, Production, IN4, Hinduism
S0IMBMVW, Full Time Employee, 1995-01-24, 28, 2021-10-06, , , Male, Divorced, M4, MML, 61549.20, Germany, EUR, Bonn, Engineering, GER2, Islam
AZJQ4R97, Full Time Employee, 1995-11-09, 27, 2017-08-25, , , Male, Divorced, M1, JML, 35450.51, US, USD, Boise, Sales & Marketing, US2, Islam
MGA3JA5O, Full Time Employee, 2004-05-12, 18, 2022-11-28, , , Female, Separated, M3, MML, 53049.22, India, INR, Hyderabad, Engineering, IN3, Hinduism
G694P5G3, Full Time Employee, 1998-06-05, 24, 2019-02-27, , , Male, Widowed, M3, MML, 53050.20, US, USD, Boise, Engineering, US1, Jewish
CRN5DOUJ, Fixed Term Contractual Employee, 1986-11-08, 36, 2017-03-23, , , Female, Married, M3, MML, 53048.09, India, INR, Bangalore, Procurement, IN1, Hinduism
ZP95TDP8, Full Time Employee, 2000-07-05, 22, 2020-01-29, , , Female, Divorced, M3, MML, 53049.09, Germany, EUR, Bonn, Sales & Marketing, GER2, Christianity
5JXETTCU, Full Time Employee, 1981-01-12, 42, 1999-11-18, , , Male, Widowed, M5, SML, 76548.05, Germany, EUR, Berlin, Engineering, GER1, Islam
SWS71MFP, Full Time Employee, 1989-03-09, 33, 2009-05-14, 2016-06-21, Career change, Male, Married, M2, JML, 43202.97, Germany, EUR, Berlin, Procurement, GER1, Christianity
BG032VI8, Full Time Employee, 2003-06-05, 19, 2022-01-01, , , Third gender, Separated, M6, SML, 95349.86, Germany, EUR, Berlin, Sales & Marketing, GER1, Islam
REICWS3G, Full Time Employee, 1993-01-27, 30, 2014-06-15, , , Male, Widowed, M2, JML, 43200.99, India, INR, Delhi, Logistics, IN3, Buddhism
S9IQRA9B, Full Time Employee, 1978-11-28, 44, 2002-11-11, , , Male, Single, M4, MML, 61551.92, Germany, EUR, Berlin, Production, GER1, Islam
7TL1WBR0, Full Time Employee, 2003-10-23, 19, 2023-01-29, , , Female, Separated, M2, JML, 43199.56, India, INR, Hyderabad, Packing, IN1, Buddhism
83AFMRJB, Full Time Employee, 1967-08-09, 55, 1987-11-11, 2016-04-15, Career change, Female, Divorced, M2, JML, 43198.08, India, INR, Bangalore, Engineering, IN4, Jainism
JCHJG620, Full Time Employee, 1978-06-15, 44, 2016-07-12, 2017-09-18, Relocation, Female, Separated, M2, JML, 43198.66, US, USD, Boston, Production, US3, Jewish
X4VKY2L0, Full Time Employee, 1984-04-04, 38, 2004-08-26, 2006-07-06, Relocation, Male, Separated, M5, SML, 76550.46, US, USD, New York, Engineering, US5, Jewish
BB5SAZZF, Full Time Employee, 2002-07-15, 20, 2021-07-28, , , Female, Single, M4, MML, 61550.55, Germany, EUR, Berlin, Sales & Marketing, GER1, Islam
WXV8JIVK, Full Time Employee, 1989-02-06, 34, 2016-03-10, , , Female, Separated, M2, JML, 43198.94, India, INR, Vizag, Engineering, IN3, Hinduism
G70X7MBF, Full Time Employee, 1969-12-15, 53, 1998-12-15, , , Female, Separated, M5, SML, 76549.98, Germany, EUR, Frankfurt, Sales & Marketing, GER2, Islam
FCVS1BMZ, Full Time Employee, 1984-03-06, 38, 2016-10-31, 2022-06-06, Performance, Male, Divorced, M2, JML, 43199.66, Germany, EUR, Berlin, Sales & Marketing, GER2, Christianity
O621LPFC, Full Time Employee, 1995-03-12, 27, 2017-01-30, , , Female, Divorced, M3, MML, 53046.22, US, USD, Phoenix, Engineering, US6, Athiest
8AS3SKZI, Full Time Employee, 1989-05-30, 33, 2011-07-24, , , Male, Widowed, M6, SML, 95348.64, US, USD, Boston, Engineering, US2, Athiest
IJD3FMQ3, Full Time Employee, 1963-01-20, 60, 1996-05-19, , , Female, Divorced, M3, MML, 53047.65, India, INR, Delhi, Production, IN4, Hinduism
M6U86ONT, Full Time Employee, 1963-02-21, 60, 1994-05-30, , , Male, Divorced, M2, JML, 43201.73, India, INR, Bangalore, Packing, IN4, Christianity
RIVJNJWI, Full Time Employee, 1976-01-04, 47, 2001-08-17, , , Female, Married, M1, JML, 35448.96, India, INR, Delhi, Production, IN2, Buddhism
UDD8SNTE, Full Time Employee, 1989-05-18, 33, 2021-08-22, 2022-01-22, AWOL, Female, Single, M4, MML, 61548.35, US, USD, Boston, Engineering, US2, Athiest
MM3EHEZV, Temporary Employee, 1994-09-14, 28, 2022-02-15, 2022-06-04, Relocation, Male, Separated, M5, SML, 76549.39, India, INR, Bangalore, Engineering, IN4, Jainism
FLZ3T784, Full Time Employee, 1995-12-18, 27, 2014-06-03, , , Female, Widowed, M4, MML, 61551.28, India, INR, Hyderabad, Logistics, IN2, Hinduism
YNE19VFU, Full Time Employee, 2003-09-26, 19, 2022-02-13, , , Male, Divorced, M4, MML, 61548.28, Germany, EUR, Bonn, Procurement, GER1, Christianity
SC5IWYYP, Full Time Employee, 1993-02-23, 30, 2013-10-29, , , Male, Widowed, M2, JML, 43198.62, Germany, EUR, Bonn, Engineering, GER1, Islam
E2H12ID2, Full Time Employee, 1984-08-31, 38, 2015-07-18, , , Male, Divorced, M5, SML, 76548.19, Germany, EUR, Berlin, Customer Service, GER2, Christianity
1OZZXDQU, Casual Employee, 1990-12-14, 32, 2016-04-09, 2017-09-09, Performance, Male, Widowed, M1, JML, 35452.44, Germany, EUR, Frankfurt, Procurement, GER1, Islam
7OAXO6SU, Full Time Employee, 1984-02-27, 39, 2003-11-30, , , Male, Married, M7, TML, 106450.99, India, INR, Chennai, Production, IN4, Buddhism
61SSQKX5, Full Time Employee, 1986-03-29, 36, 2021-08-09, , , Male, Single, M2, JML, 43199.56, Germany, EUR, Berlin, Sales & Marketing, GER1, Christianity
8NGXAK8D, Full Time Employee, 1984-03-17, 38, 2020-01-22, 2022-06-29, Performance, Female, Separated, M3, MML, 53052.63, US, USD, Boise, Sales & Marketing, US6, Christianity
2E9UVDRW, Full Time Employee, 1973-07-06, 49, 1999-05-10, , , Male, Separated, N1, NML, 30652.77, Germany, EUR, Bonn, Production, GER1, Christianity
87EDODOW, Full Time Employee, 1998-07-29, 24, 2019-12-27, 2020-05-15, Relocation, Male, Divorced, M2, JML, 43201.22, India, INR, Delhi, Engineering, IN1, Jainism
1UWITG3J, Casual Employee, 1992-10-09, 30, 2020-11-01, 2022-03-04, Medical issues, Male, Divorced, M2, JML, 43201.88, US, USD, New York, Engineering, US2, Athiest
ZQWWWSGS, Casual Employee, 1966-09-19, 56, 2003-08-08, 2006-05-10, Relocation, Female, Widowed, M1, JML, 35449.02, US, USD, Phoenix, Production, US6, Jewish
FGMOOO14, Full Time Employee, 1995-10-17, 27, 2021-10-02, 2022-07-12, Relocation, Male, Single, M2, JML, 43194.25, US, USD, New York, Packing, US1, Christianity
R6VI4WJC, Full Time Employee, 1994-05-15, 28, 2020-01-06, 2021-12-20, Gross misconduct, Male, Widowed, M2, JML, 43198.77, Germany, EUR, Berlin, Engineering, GER2, Islam
VRPRUCQA, Full Time Employee, 1985-08-29, 37, 2018-09-28, 2021-06-11, AWOL, Female, Single, M3, MML, 53050.63, India, INR, Bangalore, Engineering, IN4, Islam
D34J3KYE, Temporary Employee, 2002-11-25, 20, 2022-01-29, , , Male, Single, M3, MML, 53050.17, US, USD, New York, Customer Service, US2, Athiest
LXX4CQHL, Full Time Employee, 2000-01-11, 23, 2020-02-19, 2021-02-11, Performance, Female, Widowed, M2, JML, 43200.56, Germany, EUR, Bonn, Engineering, GER2, Islam
H550OUCP, Full Time Employee, 1961-01-04, 62, 2011-12-14, , , Male, Separated, M1, JML, 35449.57, India, INR, Chennai, Production, IN2, Christianity
JTLO4YVK, Full Time Employee, 1996-06-08, 26, 2016-10-14, , , Male, Widowed, M2, JML, 43196.26, India, INR, Hyderabad, Production, IN1, Sikhism
OQTWS8VE, Temporary Employee, 2002-07-09, 20, 2021-04-30, , , Female, Widowed, M6, SML, 95352.06, Germany, EUR, Frankfurt, Production, GER1, Christianity
806QAJH7, Full Time Employee, 1966-02-16, 57, 2016-08-04, 2021-03-06, AWOL, Male, Divorced, M7, TML, 106445.03, US, USD, New York, Logistics, US6, Islam
1H0UE4NP, Full Time Employee, 1993-05-09, 29, 2019-06-03, , , Female, Divorced, M2, JML, 43198.16, India, INR, Hyderabad, Procurement, IN1, Buddhism
NHYYD5RJ, Full Time Employee, 1993-11-22, 29, 2012-06-10, , , Male, Married, M3, MML, 53049.52, Germany, EUR, Frankfurt, Production, GER2, Islam
U3HTVBY7, Full Time Employee, 2001-08-29, 21, 2020-07-30, 2023-01-04, Return to school, Female, Married, M2, JML, 43201.83, India, INR, Chennai, Sales & Marketing, IN2, Christianity
IFQYJIBR, Full Time Employee, 1996-04-24, 26, 2019-10-19, , , Male, Divorced, M6, SML, 95347.69, India, INR, Chennai, Engineering, IN2, Islam
T113O51U, Full Time Employee, 1963-09-23, 59, 2012-11-23, 2018-04-27, Return to school, Female, Divorced, M5, SML, 76547.77, US, USD, New York, Customer Service, US4, Christianity
DHLSV9QB, Full Time Employee, 1979-02-11, 44, 2022-03-19, 2022-05-13, AWOL, Female, Divorced, M3, MML, 53048.79, India, INR, Bangalore, Engineering, IN3, Islam
3Y0LTYH7, Full Time Employee, 1990-04-04, 32, 2023-01-12, 2023-01-13, Medical issues, Female, Widowed, M5, SML, 76547.12, India, INR, Bangalore, Sales & Marketing, IN3, Islam
K26A0VRA, Full Time Employee, 1987-03-04, 35, 2010-12-30, 2013-08-10, Return to school, Male, Divorced, M3, MML, 53051.82, India, INR, Hyderabad, Engineering, IN3, Christianity
LUT5WTO1, Fixed Term Contractual Employee, 1964-04-22, 58, 2005-09-06, 2013-06-10, Performance, Male, Divorced, M4, MML, 61548.75, India, INR, Hyderabad, Logistics, IN4, Jainism
LEIE69YD, Full Time Employee, 1964-09-24, 58, 2006-01-10, 2018-10-25, AWOL, Male, Widowed, M7, TML, 106451.13, India, INR, Delhi, Engineering, IN4, Sikhism
1FK1Q0QX, Full Time Employee, 1964-01-16, 59, 2016-08-01, 2017-04-26, Relocation, Male, Married, M3, MML, 53048.14, US, USD, Boise, Logistics, US2, Athiest
H1FJVIDN, Full Time Employee, 1975-08-26, 47, 2016-12-28, 2021-07-27, Relocation, Female, Married, M4, MML, 61549.19, US, USD, New York, Production, US3, Christianity
SNPDJSWO, Full Time Employee, 1995-09-02, 27, 2016-05-31, 2017-09-13, Gross misconduct, Female, Married, M5, SML, 76546.71, India, INR, Hyderabad, Engineering, IN4, Hinduism
LJV2DN0V, Full Time Employee, 1986-08-02, 36, 2017-08-14, 2018-12-11, Career change, Male, Single, M1, JML, 35450.84, US, USD, New York, Engineering, US6, Christianity
4HCHXI8H, Temporary Employee, 1980-04-11, 42, 2002-10-11, 2014-01-02, Gross misconduct, Male, Divorced, M1, JML, 35448.00, US, USD, Boise, Packing, US5, Islam
H5X9LBQB, Full Time Employee, 1974-04-01, 48, 2007-02-27, , , Male, Divorced, N1, NML, 30648.88, India, INR, Delhi, Sales & Marketing, IN3, Islam
OL4ALCX6, Full Time Employee, 1968-02-26, 55, 1995-04-30, , , Male, Married, M1, JML, 35451.70, US, USD, Boise, Production, US4, Jewish
6MYN7GDF, Full Time Employee, 1979-07-13, 43, 2002-07-01, , , Male, Widowed, M4, MML, 61547.07, Germany, EUR, Berlin, Production, GER2, Islam
UH53WZLT, Full Time Employee, 1986-11-01, 36, 2006-10-07, , , Male, Widowed, M1, JML, 35452.86, India, INR, Chennai, Customer Service, IN2, Jainism
T9SRJDEQ, Full Time Employee, 1961-04-26, 61, 2019-10-01, , , Male, Separated, M1, JML, 35451.63, US, USD, New York, Logistics, US2, Jewish
J238V574, Full Time Employee, 1981-06-15, 41, 2008-08-04, , , Female, Divorced, M5, SML, 76546.25, India, INR, Vizag, Production, IN1, Islam
OU01L0J3, Full Time Employee, 1987-02-03, 36, 2006-09-01, 2015-09-09, Gross misconduct, Female, Widowed, M2, JML, 43201.53, US, USD, Boise, Sales & Marketing, US2, Jewish
0WYC1VT1, Full Time Employee, 1995-12-22, 27, 2021-11-14, 2022-08-02, Gross misconduct, Female, Widowed, M7, TML, 106453.70, Germany, EUR, Berlin, HR, GER1, Islam
92Q8GE23, Full Time Employee, 1994-09-04, 28, 2017-11-27, , , Male, Married, M2, JML, 43200.00, Germany, EUR, Berlin, Production, GER2, Islam
5V0S43S0, Full Time Employee, 1998-02-04, 25, 2018-03-05, 2021-04-27, Return to school, Male, Separated, M6, SML, 95348.82, India, INR, Bangalore, Logistics, IN2, Buddhism
5TE2SU9N, Full Time Employee, 1991-02-25, 32, 2011-12-19, 2012-11-07, Performance, Male, Widowed, M2, JML, 43200.30, India, INR, Delhi, Engineering, IN2, Hinduism
2WQ2D4SZ, Full Time Employee, 1974-05-18, 48, 1997-08-12, 1998-07-09, Medical issues, Male, Separated, M4, MML, 61549.30, Germany, EUR, Frankfurt, Sales & Marketing, GER2, Islam
44I5OW5I, Wage Boarder, 1985-01-14, 38, 2005-02-07, , , Female, Married, M6, SML, 95348.05, Germany, EUR, Frankfurt, Engineering, GER2, Islam
HSVFA1R2, Full Time Employee, 1962-09-05, 60, 2022-11-20, 2023-01-01, Relocation, Male, Widowed, M2, JML, 43198.27, Germany, EUR, Bonn, Procurement, GER1, Islam
CCUSN80M, Full Time Employee, 1965-10-17, 57, 2008-11-03, , , Female, Single, M3, MML, 53052.00, US, USD, New York, Production, US5, Athiest
4JKR77TQ, Full Time Employee, 2004-12-25, 18, 2023-01-22, 2023-02-11, Return to school, Male, Single, M2, JML, 43198.38, US, USD, Phoenix, Procurement, US4, Christianity
EZ473C4Y, Full Time Employee, 1979-07-18, 43, 2002-08-02, , , Female, Separated, M7, TML, 106449.67, Germany, EUR, Frankfurt, Customer Service, GER1, Islam
NCM9LF3J, Full Time Employee, 1990-01-11, 33, 2013-09-28, , , Female, Divorced, M4, MML, 61547.96, US, USD, New York, Production, US4, Athiest
LJM1N7VG, Full Time Employee, 1963-06-10, 59, 2012-06-30, 2016-05-24, AWOL, Male, Separated, M4, MML, 61551.18, India, INR, Hyderabad, Sales & Marketing, IN4, Buddhism
48EY2DJI, Full Time Employee, 1979-06-10, 43, 2015-01-04, 2022-09-01, Performance, Male, Separated, M3, MML, 53051.56, India, INR, Chennai, HR, IN3, Buddhism
5QQSUNGR, Full Time Employee, 1965-02-19, 58, 2010-07-14, , , Male, Divorced, M2, JML, 43199.94, India, INR, Chennai, Procurement, IN2, Sikhism
ISR381NV, Full Time Employee, 1978-11-08, 44, 2005-09-22, , , Female, Single, M6, SML, 95352.50, India, INR, Chennai, Engineering, IN4, Islam
P2KOAIMH, Full Time Employee, 2004-02-20, 19, 2022-11-18, , , Female, Separated, M2, JML, 43199.60, India, INR, Vizag, Customer Service, IN3, Sikhism
6OSD7CAS, Full Time Employee, 1999-03-11, 23, 2017-08-01, 2018-09-17, Career change, Male, Widowed, M5, SML, 76546.91, India, INR, Hyderabad, Engineering, IN2, Christianity
P9405IJ9, Full Time Employee, 1985-03-28, 37, 2014-10-02, , , Male, Separated, M1, JML, 35449.85, Germany, EUR, Berlin, Production, GER2, Christianity
F6HZF0PW, Full Time Employee, 1974-07-07, 48, 2009-07-16, , , Male, Divorced, M2, JML, 43201.51, Germany, EUR, Frankfurt, Engineering, GER2, Christianity
PZADH8DT, Temporary Employee, 1961-10-22, 61, 1982-05-27, , , Male, Widowed, M3, MML, 53051.19, Germany, EUR, Bonn, Production, GER1, Islam
TULF3S2U, Full Time Employee, 1998-08-02, 24, 2018-11-25, , , Female, Divorced, M2, JML, 43193.52, India, INR, Vizag, Production, IN2, Sikhism
7P8TFSR7, Full Time Employee, 1994-01-11, 29, 2022-02-22, 2022-08-10, Gross misconduct, Male, Widowed, M2, JML, 43200.15, India, INR, Chennai, Procurement, IN2, Buddhism
5LHEIKD5, Full Time Employee, 1965-06-03, 57, 2021-03-25, , , Male, Separated, M2, JML, 43201.85, Germany, EUR, Bonn, Production, GER1, Islam
7PJFBEIS, Full Time Employee, 1986-02-13, 37, 2013-07-18, 2022-05-07, Medical issues, Female, Divorced, M3, MML, 53051.34, Germany, EUR, Bonn, Production, GER2, Islam
